mismatch,shear,stretch,stagger,buckle,propeller,opening,shift,slide,rise,tilt,roll,twist,c1c1_dist
GT,Neg,Neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pos,0
AC,Neg,Neg,0.0,Pos,Neg,Neg,Pos,0.0,0.0,0.0,0.0,Pos,Pos
CT,Neg,Neg,Pos,0.0,Neg,Pos,0.0,0.0,0.0,Pos,0.0,0.0,Neg
TT,Pos/Neg,Neg,0.0,0.0,Neg,Pos,0.0,0.0,Neg,Pos,0.0,Neg,Neg
CC,Neg,Neg,0.0,Pos,0.0,0.0,Pos,Pos,0.0,Pos,0.0,Pos,Neg
AA,Pos/Neg,Pos,Neg,0.0,0.0,Pos,0.0,Pos,0.0,Neg,Pos,Neg,Pos
GA,0.0,Pos,Neg,0.0,0.0,Neg,Pos,Pos,Neg,Neg,0.0,Neg,Pos
GA*syn,,,,,,,,,,,,,Pos
G*Gsyn,,,,,,,,,,,,,Pos
GG*syn,,,,,,,,,,,,,Pos
